model_name,model_params
RandomForestClassier,"{'random_state':48,'max_leaf_nodes':10,'n_estimators':70,'criterion':'gini','max_depth':8,'class_weight':{0:1,1:2},'n_jobs':-1,'min_samples_leaf':4,'min_samples_split':5,'max_features':0.5,'oob_score':True}"
RandomForestClassier,"{'random_state': 42, 'n_estimators': 400, 'min_weight_fraction_leaf': 0.3, 'min_samples_split': 24, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 1, 'criterion': 'entropy'}"
RandomForestClassier,"{'random_state':42, 'n_estimators': 320, 'min_samples_split': 5, 'min_samples_leaf': 6, 'max_features': 'log2', 'max_depth': 50}"
RandomForestClassier,"{'random_state':42, 'n_estimators':145, 'min_samples_split':24, 'min_samples_leaf':1, 'max_features':'sqrt', 'max_depth':33}"
RandomForestClassier,"{'random_state':42,'n_estimators':150,'max_depth':3}"
RandomForestClassier,"{'random_state': 43, 'n_estimators': 158, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 10, 'bootstrap': False}"
RandomForestClassier,"{'class_weight':'balanced','random_state': 35, 'n_estimators': 50, 'min_samples_split': 8, 'min_samples_leaf': 16, 'max_features': 'sqrt', 'max_depth': 2, 'bootstrap': True}"
RandomForestClassier,"{'class_weight':{0:1,1:2}, 'random_state':48,'n_estimators':70,'max_features':0.4,'max_depth':5}"
RandomForestClassier,"{'class_weight':{0:1,1:2}, 'random_state':42,'n_estimators':45,'max_features':0.4,'max_depth':7}"
RandomForestClassier,"{'class_weight':{0:1,1:2}, 'random_state':42,'n_estimators':50,'max_features':0.4,'max_depth':7}"
RandomForestClassier,"{ 'n_estimators':500, 'max_depth':7}"
RandomForestClassier,"{'max_depth':2,'max_features':2,'min_samples_split':0.3,'class_weight':{0:2,1:8},'random_state':42,'min_samples_leaf':2}"
RandomForestClassier,"{'max_depth':5,'n_estimators':150,'random_state':42,'n_jobs':-1, 'class_weight':{0:1,1:4},'max_features':5,'oob_score':True,'min_samples_leaf':9}"
RandomForestClassier,"{'max_depth':5,'n_estimators':150,'random_state':42,'class_weight':{0:1,1:4},'max_features':5}"
RandomForestClassier,"{'max_depth':5,'n_estimators':70,'random_state':42,'class_weight':{0:1,1:2},'max_features':'auto','min_samples_leaf':10, 'min_samples_split':5}"
RandomForestClassier,"{'max_depth':7,'n_estimators':300,'max_features':2,'min_samples_split':0.3,'class_weight':{0:1,1:6},'random_state':42,'min_samples_leaf':2}"
RandomForestClassier,"{'n_estimators':100,'max_leaf_nodes':10,'random_state':42,'class_weight':{0:1,1:2},'criterion':'gini','max_depth':7,'max_features':0.4,'min_samples_leaf':4,'n_jobs':-1}"
RandomForestClassier,"{'n_estimators':40,'max_leaf_nodes':10,'random_state':42,'class_weight':{0:1,1:2},'criterion':'gini','max_depth':7,'max_features':0.5,'min_samples_leaf':2}"
RandomForestClassier,"{'random_state':42, 'n_estimators':400, 'min_weight_fraction_leaf':0.3, 'min_samples_split':24, 'min_samples_leaf':1, 'max_features':'sqrt', 'max_depth':1, 'criterion': 'entropy'}"
RandomForestClassier,"{'random_state':42,'min_weight_fraction_leaf':0,'n_estimators':450,'max_features':10}"
RandomForestClassier,"{'random_state':150, 'n_estimators':506, 'min_samples_split':24, 'min_samples_leaf':2, 'max_features':'auto', 'max_depth':3}"
RandomForestClassier,"{'random_state':42,'max_leaf_nodes':8,'n_estimators':100,'criterion':'gini','max_depth':8,'class_weight':{0:1,1:2},'n_jobs':-1,'min_samples_leaf':5,'min_samples_split':5,'max_features':0.5,'oob_score':True}"
RandomForestClassier,"{'random_state':42,'n_estimators':100,'max_depth':8,'min_samples_leaf':8}"
RandomForestClassier,"{'random_state':50, 'n_estimators':200, 'max_depth':7, 'criterion':'gini'}"
RandomForestClassier,"{'n_estimators':100, 'max_leaf_nodes':10, 'random_state':42, 'class_weight':{0:1, 1:2},'criterion':'gini', 'max_depth':7,'max_features':0.4,'n_jobs':-1,'min_weight_fraction_leaf':0.4}"
RandomForestClassier,"{'random_state':42, 'n_estimators':400, 'min_weight_fraction_leaf':0.3, 'min_samples_split':24, 'min_samples_leaf':1, 'max_features':'sqrt', 'max_depth':1, 'criterion':'entropy'}"
RandomForestClassier,"{'random_state':45, 'n_estimators':200,'min_samples_split':10, 'min_samples_leaf':4,'max_features':'sqrt', 'class_weight':{0: 1, 1: 4},'max_depth':69, 'bootstrap':False,'criterion':'entropy', 'min_weight_fraction_leaf':0.2}"
RandomForestClassier,"{'random_state':42, 'n_estimators':400, 'min_weight_fraction_leaf':0.3, 'min_samples_split':24, 'min_samples_leaf':1, 'max_features':'sqrt', 'max_depth':1, 'criterion':'entropy'}"
xgboost.XGBClassifier,"{'random_state':42,'n_estimators':106,'max_depth':1, 'learning_rate':0.0044}"
xgboost.XGBClassifier,"{'random_state':42,'n_estimators':200,'max_depth':3,'learning_rate':0.09}"
xgboost.XGBClassifier,"{'random_state': 42, 'n_estimators': 32, 'max_depth': 3, 'learning_rate': 0.0011}"
xgboost.XGBClassifier,"{'base_score':0.5, 'booster':'gbtree',  'gamma':0.5, 'learning_rate':0.03, 'max_delta_step':0,'max_depth':2, 'min_child_weight':7, 'n_estimators':200, 'n_jobs':0,  'random_state':0,'reg_alpha':0, 'reg_lambda':1, 'scale_pos_weight':1, 'subsample':1}"
xgboost.XGBClassifier,"{'base_score':0.5, 'gamma':3, 'learning_rate':0.1,'max_delta_step':0,'max_depth':2,'min_child_weight':1,      'missing':None,'n_estimators':50,'n_jobs':1,'nthread':None,'objective':'binary:logistic','random_state':0,'reg_alpha':0,'reg_lambda':1,          'scale_pos_weight':1,'seed':None,'silent':None,'subsample':1}"
xgboost.XGBClassifier,"{'random_state':42, 'n_estimators':45, 'max_depth': 7, 'learning_rate': 0.009100000000000001}"
xgboost.XGBClassifier,"{'random_state':42, 'n_estimators':152,'max_depth':8,'learning_rate':0.01,'base_score':0.7}"
xgboost.XGBClassifier,"{'random_state': 20,'n_estimators': 500,'max_depth':3, 'learning_rate':0.00001}"
xgboost.XGBClassifier,"{'random_state':42, 'max_depth':8, 'learning_rate':0.0060, 'base_score':0.4, 'min_child_weight': 3}"
xgboost.XGBClassifier,"{'random_state':42, 'n_estimators':100,'max_depth':13, 'learning_rate':0.025600000000000001}"
xgboost.XGBClassifier,"{'random_state':42, 'n_estimators':45, 'max_depth':7, 'learning_rate':0.009100000000000001}"
xgboost.XGBClassifier,"{'random_state':42, 'n_estimators':70,'max_depth':89, 'learning_rate':0.009100000000000001}"
xgboost.XGBClassifier,"{'random_state':42,'n_estimators':100,'max_depth':5,'learning_rate':0.005}"
xgboost.XGBClassifier,"{'random_state':42,'n_estimators':106,'max_depth':3}"
xgboost.XGBClassifier,"{'random_state':42,'n_estimators':106,'max_depth':1, 'learning_rate':0.0044}"
xgboost.XGBClassifier,"{'random_state':42,'n_estimators':106,'max_depth':1, 'learning_rate':0.0044}"
xgboost.XGBClassifier,"{'random_state':42,'n_estimators':32,'max_depth':3, 'learning_rate': 0.0011}"
xgboost.XGBClassifier,"{'random_state':42,'n_estimators':45,'max_depth':7, 'learning_rate':0.009100000000000001}"
xgboost.XGBClassifier,"{'random_state':42,'n_estimators':506,'max_depth':1, 'learning_rate':0.0044}"
xgboost.XGBClassifier,"{'random_state':42,'n_estimators':600,'max_depth':4,'learning_rate':0.07}"
xgboost.XGBClassifier,"{'random_state':42, 'n_estimators':700, 'max_depth':5, 'learning_rate':0.0005}"
xgboost.XGBClassifier,"{'random_state':42,'max_depth':6,'n_estimators':80,'learning_rate':0.05}"
xgboost.XGBClassifier,"{'random_state':42,'n_estimators':106,'max_depth':1,'learning_rate':0.0044}"
xgboost.XGBClassifier,"{'random_state':42,'n_estimators':106,'max_depth':1, 'learning_rate': 0.0044}"
xgboost.XGBClassifier,"{'random_state':42,'n_estimators':106,'max_depth':1, 'learning_rate':0.0044}"
xgboost.XGBClassifier,"{'random_state':42,'n_estimators':106,'max_depth':35,'learning_rate':0.0077}"
xgboost.XGBClassifier,"{'random_state':42,'n_estimators':200,'max_depth':3,'learning_rate':0.1}"
xgboost.XGBClassifier,"{'random_state':42,'n_estimators':200,'max_depth':3,'learning_rate':0.09}"
xgboost.XGBClassifier,"{'random_state':42,'n_estimators':200,'max_depth':20, 'learning_rate':0.0077}"
xgboost.XGBClassifier,"{'random_state':42,'n_estimators':400,'max_depth':35,'learning_rate':0.0099}"
xgboost.XGBClassifier,"{'random_state':48,'n_estimators':70,'max_depth':6,'learning_rate':0.025}"
xgboost.XGBClassifier,"{'random_state': 18, 'n_estimators': 350,'max_depth': 10, 'learning_rate': 0.02}"
xgboost.XGBClassifier,"{'random_state': 27, 'n_estimators': 359, 'max_depth': 4, 'learning_rate': 0.0085, 'booster': 'dart'}"
xgboost.XGBClassifier,"{'random_state': 31, 'n_estimators': 165, 'max_depth': 6, 'learning_rate': 0.0068000000000000005}"
xgboost.XGBClassifier,"{'learning_rate':0.05,'n_estimators':1000,'max_depth':3,'min_child_weight':1,'gamma':0.4}"
xgboost.XGBClassifier,"{'random_state':42,'n_estimators':106,'max_depth':1,'learning_rate':0.03}"
